,ID,BRAND,SUB_DETAIL,AMOUNT,START_DATE,END_DATE,DURATION,REVENUE
24755,276SYTR558,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
24756,276TEYQ880,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
24759,276UXJM743,Pulse,expired monthly,7.99,2023-01-01,2023-01-23,22.0,0.0
24760,276UXJM743,Pulse,paid monthly,8.01,2023-03-07,2023-06-30,116.0,32.04
24764,276VKQY898,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
24765,276WTJJ349,LimeLight,paid monthly,20.01,2023-01-01,2023-06-17,168.0,100.04999999999998
24766,276XAPC299,CineQuest,paid monthly,12.0,2023-01-01,2023-01-15,15.0,12.0
24767,276XAPC299,CineQuest,paid monthly,12.0,2023-04-04,2023-06-30,88.0,36.0
24768,276XAPC299,Pulse,discounted annual,38.06,2023-01-01,2023-06-30,181.0,38.06
24771,276YAAQ502,ChillStream,paid monthly,24.99,2023-01-01,2023-03-10,69.0,49.98000000000002
24775,276YMRH457,CineQuest,paid monthly,12.0,2023-02-06,2023-06-30,145.0,60.0
24779,277AGMU986,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
24780,277AVAO889,LimeLight,trial monthly,16.07,2023-01-01,2023-01-26,26.0,16.069999999999993
24781,277AVAO889,LimeLight,paid monthly,20.0,2023-03-19,2023-06-30,104.0,80.0
24783,277CPAH813,CineQuest,paid monthly,12.02,2023-04-24,2023-06-30,68.0,36.06
24786,277EQTH877,LimeLight,paid annual,79.98,2023-01-01,2023-02-11,42.0,79.98
24790,277FYJA373,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
24791,277HCPO560,CineQuest,paid monthly,11.99,2023-06-20,2023-06-30,11.0,11.99
24794,277ICNZ263,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
24795,277IOEY832,LimeLight,paid monthly,19.99,2023-01-01,2023-04-21,111.0,108.07999999999998
24797,277IPZQ115,CineQuest,paid monthly,12.02,2023-03-17,2023-06-30,106.0,48.08
24798,277JIDG547,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
24799,277JTML235,RetroReel,paid monthly,29.99,2023-01-01,2023-04-06,96.0,89.97000000000003
24800,277JTML235,RetroReel,paid monthly,30.0,2023-05-06,2023-06-30,56.0,60.0
24802,277LCJQ104,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
24804,277LIIX124,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24805,277LSNP583,ChillStream,paid annual,100.0,2023-01-10,2023-06-30,172.0,100.0
24806,277MMNT930,LimeLight,paid annual,79.99,2023-01-01,2023-06-07,158.0,0.0
24809,277PSWD787,CineQuest,paid annual,60.0,2023-01-01,2023-01-15,15.0,0.0
24810,277PYWM949,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24812,277PYWM949,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
24814,277QXUR353,ChillStream,paid monthly,24.99,2023-02-10,2023-06-30,141.0,124.94999999999999
24817,277RFSF470,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
24818,277RNNS472,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
24820,277RTHE947,ChillStream,paid monthly,25.01,2023-01-01,2023-06-21,172.0,175.06
24823,277RTHE947,Pulse,paid monthly,8.01,2023-06-13,2023-06-30,18.0,8.01
24824,277SILC223,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24825,277SQJV701,LimeLight,paid monthly,20.0,2023-01-01,2023-05-11,131.0,80.0
24827,277TRZM924,RetroReel,discounted annual,64.45,2023-01-01,2023-06-30,181.0,64.45
24829,277TVDH554,CineQuest,paid monthly,12.02,2023-01-01,2023-06-30,181.0,84.14
24830,277URVH586,Pulse,discounted annual,21.78,2023-01-01,2023-02-11,42.0,0.0
24831,277URVH586,Pulse,paid monthly,8.0,2023-05-10,2023-06-30,52.0,16.0
24834,277WNKF506,Pulse,paid monthly,7.98,2023-04-26,2023-06-30,66.0,23.94
24836,277WPZN166,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
24838,277XKNB957,ChillStream,paid monthly,24.99,2023-01-01,2023-04-14,104.0,100.13999999999999
24839,277XKNB957,ChillStream,paid monthly,25.0,2023-05-20,2023-06-30,42.0,50.0
24840,277XKNB957,RetroReel,expired monthly,29.99,2023-01-01,2023-02-01,31.0,29.989999999999952
24841,277XKNB957,RetroReel,paid monthly,30.0,2023-03-01,2023-06-30,122.0,150.0
24844,277YQBT491,Pulse,trial monthly,7.77,2023-01-01,2023-01-01,1.0,64.0
24845,277YQBT491,Pulse,paid monthly,8.0,2023-03-23,2023-04-22,30.0,79.77
24848,277ZAMC021,CineQuest,paid monthly,11.97,2023-01-01,2023-04-24,114.0,85.5
24849,277ZAMC021,LimeLight,paid annual,80.01,2023-01-07,2023-06-30,175.0,80.01
24850,277ZURA057,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
24851,277ZVHP432,RetroReel,paid monthly,30.01,2023-05-13,2023-06-30,49.0,60.02
24852,277ZZXE389,ChillStream,expired monthly,25.02,2023-01-01,2023-06-30,181.0,175.14
24853,277ZZXE389,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
24855,278ATWX259,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
24857,278BBJF164,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24859,278BBNY244,CineQuest,paid monthly,11.98,2023-04-03,2023-06-19,77.0,167.61
24864,278BIRU684,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
24865,278BRCC656,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
24868,278BRII949,Pulse,paid monthly,7.98,2023-05-16,2023-06-30,46.0,15.96
24870,278DASA179,ChillStream,paid monthly,24.99,2023-01-01,2023-06-30,181.0,174.92999999999998
24871,278DOAY254,CineQuest,paid annual,60.01,2023-01-01,2023-04-25,115.0,60.01
24872,278EYGH105,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
24874,278HDBE001,RetroReel,paid monthly,30.01,2023-02-14,2023-06-30,137.0,150.05
24876,278HFOC164,LimeLight,paid annual,80.0,2023-02-02,2023-06-30,149.0,80.0
24877,278HLNW279,LimeLight,paid monthly,20.0,2023-04-23,2023-06-30,69.0,60.0
24879,278HLNW279,Pulse,paid monthly,8.01,2023-01-01,2023-06-30,181.0,56.07
24880,278HNZQ730,ChillStream,trial annual,40.57,2023-01-01,2023-06-30,181.0,40.57
24881,278HNZQ730,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
24884,278IIOY664,Pulse,paid annual,50.01,2023-01-01,2023-04-09,99.0,50.01
24885,278IIOY664,Pulse,discounted annual,21.91,2023-05-23,2023-06-30,39.0,21.91
24887,278ISCC467,LimeLight,paid monthly,19.99,2023-01-01,2023-03-08,67.0,39.98000000000002
24892,278JBNU337,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
24893,278JBNU337,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
24894,278JBNU337,RetroReel,expired annual,120.0,2023-01-01,2023-03-28,86.0,120.0
24896,278JCHZ466,LimeLight,paid monthly,20.01,2023-03-16,2023-06-30,107.0,80.04
24899,278KCYH560,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
24900,278KFHM731,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
24901,278KMQO950,LimeLight,paid monthly,20.0,2023-01-01,2023-02-06,37.0,20.0
24902,278KMQO950,LimeLight,paid monthly,20.0,2023-05-29,2023-06-30,33.0,40.0
24903,278LSGR530,ChillStream,paid annual,100.0,2023-01-01,2023-02-16,47.0,0.0
24905,278LSGR530,LimeLight,discounted annual,51.44,2023-05-22,2023-06-21,30.0,51.44
24907,278NNKM306,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
24909,278OPSP187,ChillStream,paid monthly,25.0,2023-01-01,2023-01-27,27.0,25.0
24910,278OPSP187,ChillStream,paid monthly,25.0,2023-02-05,2023-06-28,143.0,275.0
24912,278OTNN005,CineQuest,trial annual,46.39,2023-01-06,2023-06-29,174.0,106.37
24915,278PLYL217,CineQuest,paid monthly,11.98,2023-01-09,2023-06-30,173.0,71.88
24916,278PLYL217,LimeLight,expired monthly,20.0,2023-01-01,2023-06-24,174.0,100.0
24917,278PUKR946,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24919,278PUKR946,LimeLight,discounted monthly,19.95,2023-05-17,2023-06-30,45.0,39.9
24920,278QNHK460,CineQuest,paid monthly,12.02,2023-03-07,2023-06-30,116.0,48.08
24922,278SDTJ345,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
24923,278TZBZ226,LimeLight,paid monthly,19.99,2023-02-12,2023-06-30,139.0,99.94999999999999
24924,278UNNH958,RetroReel,paid annual,120.02,2023-01-01,2023-06-30,181.0,120.02
24926,278URIR690,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
24930,278XGDQ268,LimeLight,paid monthly,20.02,2023-01-23,2023-06-30,159.0,120.12
24935,278YHKV478,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
24937,278YRVO295,ChillStream,paid annual,100.02,2023-01-11,2023-06-30,171.0,100.02
24939,278YRVO295,Pulse,paid annual,50.0,2023-01-01,2023-06-30,181.0,50.0
24940,278YZVE690,CineQuest,paid annual,60.01,2023-01-01,2023-01-17,17.0,0.0
24941,278YZVE690,CineQuest,paid monthly,12.0,2023-03-15,2023-04-15,31.0,84.00999999999999
24942,278YZVE690,CineQuest,trial annual,43.08,2023-05-21,2023-06-30,41.0,43.08
24943,278ZLHR684,RetroReel,expired monthly,30.01,2023-01-01,2023-03-07,65.0,60.02000000000004
24944,278ZLHR684,RetroReel,paid monthly,30.0,2023-06-04,2023-06-30,27.0,30.0
24945,278ZMBX973,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
24946,278ZTLK410,CineQuest,paid annual,60.0,2023-04-30,2023-06-26,57.0,60.0
24948,279BAWK117,RetroReel,expired monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
24950,279BBLB843,LimeLight,paid monthly,20.0,2023-04-23,2023-06-30,69.0,60.0
24951,279BUZE745,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
24952,279COJG265,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
24953,279CUQF008,Pulse,expired monthly,8.0,2023-01-01,2023-05-03,122.0,32.0
24955,279CVSG166,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
24956,279DGVA414,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
24957,279DINI720,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
24958,279FCAI280,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
24959,279FCMB379,LimeLight,paid annual,79.98,2023-02-21,2023-06-30,130.0,79.98
24962,279FHRT139,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
24965,279GSAM571,Pulse,paid monthly,8.02,2023-01-01,2023-04-14,104.0,56.019999999999996
24967,279GSAM571,RetroReel,expired monthly,30.02,2023-01-01,2023-03-04,62.0,60.04000000000002
24970,279IDHA246,Pulse,paid annual,50.01,2023-06-25,2023-06-30,6.0,50.01
24972,279JQBP448,CineQuest,paid monthly,12.0,2023-04-08,2023-06-30,84.0,36.0
24975,279KJIB603,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
24978,279LGEU310,Pulse,paid monthly,7.99,2023-01-10,2023-06-30,172.0,47.94
24980,279LMDV747,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
24982,279MFLP446,ChillStream,paid annual,100.02,2023-01-01,2023-05-15,135.0,25.0
24984,279MLKV695,ChillStream,paid monthly,24.99,2023-06-02,2023-06-30,29.0,24.99
24986,279NJFR103,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
24988,279NONL411,CineQuest,paid monthly,11.99,2023-01-01,2023-06-04,155.0,59.95000000000002
24990,279NONL411,Pulse,paid monthly,7.99,2023-03-04,2023-06-30,119.0,31.96
24991,279PVUA464,LimeLight,paid annual,79.98,2023-01-01,2023-02-14,45.0,0.0
24994,279QKON525,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
24995,279RYFD765,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
24996,279RYFD765,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
24997,279SMRU543,LimeLight,paid monthly,19.98,2023-01-01,2023-02-09,40.0,19.98
25002,279SXWF402,Pulse,paid monthly,8.01,2023-01-01,2023-05-08,128.0,96.13999999999999
25005,279TKKV692,ChillStream,trial monthly,12.54,2023-05-18,2023-06-30,44.0,25.08
25007,279VVWK472,CineQuest,expired monthly,11.98,2023-01-01,2023-06-12,162.0,59.900000000000006
25012,279WOCX226,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
25013,279WTGF266,RetroReel,paid annual,120.01,2023-01-01,2023-06-30,181.0,120.01
25015,279WYSX900,CineQuest,paid monthly,12.01,2023-02-25,2023-06-30,126.0,60.05
25017,279XBNC173,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
25022,279ZJMX520,LimeLight,paid monthly,20.0,2023-03-09,2023-06-30,114.0,80.0
25025,280DNOR107,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25028,280DZAP436,LimeLight,paid annual,80.01,2023-03-07,2023-06-30,116.0,80.01
25030,280DZSS354,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
25031,280EMLG332,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
25032,280EVVD856,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
25034,280GGYO416,RetroReel,paid monthly,30.01,2023-03-02,2023-06-30,121.0,150.05
25035,280HQWJ664,RetroReel,paid annual,119.99,2023-03-30,2023-06-30,93.0,119.99
25037,280HSKZ758,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
25038,280HXHM165,RetroReel,paid annual,119.98,2023-04-28,2023-06-30,64.0,119.98
25042,280JONT519,RetroReel,paid monthly,30.0,2023-01-26,2023-06-30,156.0,180.0
25044,280JVZL691,CineQuest,paid monthly,12.01,2023-02-08,2023-06-30,143.0,60.05
25045,280KDRF860,RetroReel,paid annual,119.98,2023-04-14,2023-06-30,78.0,119.98
25046,280KKLT856,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
25049,280KYSU718,CineQuest,trial annual,50.61,2023-06-10,2023-06-30,21.0,50.61
25052,280KZEZ395,LimeLight,paid annual,80.0,2023-06-15,2023-06-30,16.0,80.0
25053,280LPGU526,LimeLight,paid monthly,20.0,2023-01-01,2023-03-22,81.0,60.0
25054,280LPGU526,LimeLight,paid annual,79.98,2023-06-21,2023-06-30,10.0,79.98
25055,280LSET251,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
25057,280LTVO962,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
25058,280MKKB898,ChillStream,paid annual,100.02,2023-01-01,2023-06-30,181.0,100.02
25060,280MSEB327,Pulse,paid monthly,8.0,2023-01-01,2023-05-09,129.0,80.0
25063,280NABC863,CineQuest,paid monthly,12.01,2023-03-25,2023-06-30,98.0,48.04
25065,280NAUO637,Pulse,paid monthly,8.0,2023-03-07,2023-04-26,50.0,93.28999999999999
25067,280NELF084,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25071,280ONHP527,Pulse,paid annual,49.99,2023-01-01,2023-06-30,181.0,49.99
25072,280ONJV668,Pulse,paid monthly,8.01,2023-01-01,2023-03-06,65.0,16.019999999999996
25076,280PIYB892,Pulse,paid monthly,8.0,2023-02-17,2023-06-30,134.0,40.0
25078,280PKQL467,ChillStream,paid monthly,25.02,2023-01-01,2023-06-30,181.0,175.14
25079,280PKQL467,Pulse,expired monthly,8.02,2023-01-01,2023-05-16,135.0,32.08000000000001
25081,280PNRI541,Pulse,paid monthly,8.01,2023-01-01,2023-01-20,20.0,8.009999999999991
25082,280PNRI541,Pulse,paid monthly,8.01,2023-03-08,2023-06-30,115.0,32.04
25085,280PTKW930,CineQuest,discounted monthly,7.23,2023-05-14,2023-06-30,48.0,14.46
25086,280PTYE369,LimeLight,paid monthly,20.0,2023-03-24,2023-06-30,99.0,80.0
25088,280RIQT756,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
25090,280STCA452,LimeLight,paid monthly,20.0,2023-04-16,2023-06-30,76.0,60.0
25093,280TSCY603,LimeLight,paid monthly,20.0,2023-03-28,2023-06-30,95.0,80.0
25094,280UIEX500,CineQuest,paid monthly,11.99,2023-02-27,2023-06-30,124.0,59.95
25095,280UIEX500,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
25097,280UPZL171,Pulse,paid annual,50.01,2023-01-01,2023-06-30,181.0,50.01
25099,280UXTV510,ChillStream,expired monthly,25.0,2023-01-01,2023-02-16,46.0,25.0
25102,280UXTV510,Pulse,paid monthly,7.99,2023-01-01,2023-03-08,67.0,42.89
25103,280UXTV510,Pulse,paid monthly,7.98,2023-06-08,2023-06-30,23.0,7.98
25106,280VNEC894,RetroReel,paid annual,120.0,2023-01-01,2023-06-30,181.0,120.0
25108,280WDZI025,ChillStream,trial monthly,11.12,2023-06-16,2023-06-30,15.0,11.12
25109,280WDZI025,LimeLight,paid monthly,19.98,2023-01-01,2023-06-30,181.0,139.86
25111,280WDZI025,Pulse,paid monthly,8.0,2023-01-01,2023-04-18,108.0,103.49
25112,280WDZI025,Pulse,paid monthly,8.0,2023-05-15,2023-06-30,47.0,16.0
25114,280WHKY865,RetroReel,paid monthly,30.02,2023-06-04,2023-06-30,27.0,30.02
25116,280WPLL016,ChillStream,paid monthly,24.99,2023-01-20,2023-06-30,162.0,149.94
25118,280XNVF277,RetroReel,expired annual,119.99,2023-01-01,2023-04-26,115.0,119.99
25120,280YHVW275,ChillStream,paid monthly,25.02,2023-01-01,2023-06-30,181.0,175.14
25123,280YRKL440,LimeLight,discounted monthly,10.71,2023-01-01,2023-05-19,139.0,122.85000000000002
25127,280YWNI870,LimeLight,paid monthly,20.0,2023-04-02,2023-06-30,90.0,60.0
25129,280ZFZF792,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
25132,280ZKSJ779,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25134,280ZRQB252,LimeLight,paid annual,79.99,2023-02-10,2023-06-30,141.0,79.99
25136,281ANRT977,CineQuest,paid annual,60.01,2023-02-12,2023-06-30,139.0,60.01
25137,281ARBL598,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
25141,281CFQE950,ChillStream,paid annual,100.0,2023-01-17,2023-06-30,165.0,100.0
25143,281DGSI030,LimeLight,paid monthly,19.98,2023-02-15,2023-06-30,136.0,99.9
25146,281DSDT739,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
25149,281DTWB800,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
25151,281DYWQ724,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
25152,281FCFY691,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
25153,281FDQI733,RetroReel,paid monthly,30.01,2023-04-01,2023-06-30,91.0,120.04
25158,281FFPO746,Pulse,paid monthly,8.0,2023-02-18,2023-06-30,133.0,40.0
25159,281FYQP256,RetroReel,paid monthly,29.98,2023-01-01,2023-02-10,41.0,59.96
25160,281GPCZ063,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
25162,281HKTJ977,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
25164,281JBCU032,RetroReel,paid annual,120.01,2023-01-01,2023-02-28,59.0,90.03000000000002
25167,281LHYM164,RetroReel,paid annual,119.99,2023-04-04,2023-06-30,88.0,119.99
25171,281NJNM710,CineQuest,paid monthly,12.0,2023-05-27,2023-06-30,35.0,24.0
25173,281PPQJ934,Pulse,paid monthly,8.0,2023-04-30,2023-06-29,60.0,104.0
25175,281QEDP193,ChillStream,paid monthly,24.99,2023-01-01,2023-06-30,181.0,174.92999999999998
25177,281QMIU686,ChillStream,paid monthly,25.01,2023-01-02,2023-06-30,180.0,150.06
25179,281QTBP834,CineQuest,paid annual,60.01,2023-01-01,2023-06-30,181.0,60.01
25180,281QUXW156,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
25181,281RMIT584,RetroReel,paid annual,120.0,2023-01-01,2023-06-30,181.0,120.0
25182,281ROUL743,RetroReel,paid annual,119.97,2023-01-01,2023-06-30,181.0,119.97
25183,281SNBO628,LimeLight,paid annual,79.98,2023-01-01,2023-06-30,181.0,79.98
25184,281SZOO337,LimeLight,paid monthly,20.02,2023-01-01,2023-06-30,181.0,140.14
25185,281SZRT473,ChillStream,paid annual,100.02,2023-01-01,2023-06-30,181.0,100.02
25186,281TBUY774,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
25187,281TDYL982,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
25189,281TZJH923,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25193,281UQIG722,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
25194,281VOBD124,CineQuest,paid monthly,12.02,2023-01-01,2023-06-30,181.0,84.14
25195,281VTAG389,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
25197,281WJQN503,CineQuest,trial monthly,9.08,2023-01-01,2023-06-30,181.0,63.56
25198,281WJQN503,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
25201,281WXCI517,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
25203,281YCAP329,CineQuest,paid monthly,12.0,2023-01-01,2023-06-21,172.0,131.94
25205,281YFBP520,LimeLight,paid monthly,20.0,2023-01-01,2023-04-15,105.0,80.0
25207,281ZMZE043,ChillStream,paid monthly,24.97,2023-01-01,2023-05-05,125.0,99.88
25208,282APYN268,LimeLight,discounted monthly,8.94,2023-01-01,2023-03-03,62.0,17.88000000000001
25211,282CIME851,LimeLight,paid annual,80.02,2023-01-01,2023-06-30,181.0,80.02
25213,282CPEY501,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25214,282CQYA661,Pulse,paid monthly,8.0,2023-01-01,2023-06-26,177.0,48.0
25217,282DRLA489,CineQuest,paid annual,59.98,2023-01-01,2023-05-28,148.0,47.96
25218,282DRLA489,CineQuest,trial annual,39.4,2023-06-30,2023-06-30,1.0,39.4
25219,282EDYD580,RetroReel,paid annual,120.0,2023-01-01,2023-01-07,7.0,0.0
25223,282FDGJ792,LimeLight,paid annual,79.99,2023-01-09,2023-06-30,173.0,79.99
25225,282FICV783,ChillStream,paid annual,100.01,2023-01-08,2023-06-30,174.0,100.01
25226,282FWHI235,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
25227,282GLXG337,ChillStream,paid monthly,25.0,2023-01-01,2023-04-11,101.0,75.0
25233,282GQEX421,Pulse,paid monthly,7.99,2023-01-19,2023-06-30,163.0,47.94
25235,282HERQ478,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
25236,282HGZY125,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
25237,282HGZY125,RetroReel,paid monthly,30.0,2023-02-19,2023-06-30,132.0,150.0
25238,282HKKZ753,LimeLight,paid monthly,20.0,2023-01-01,2023-06-02,153.0,100.0
25240,282HKZJ553,LimeLight,trial monthly,7.65,2023-01-01,2023-04-25,115.0,22.950000000000003
25241,282HKZJ553,LimeLight,paid monthly,20.0,2023-06-14,2023-06-30,17.0,20.0
25243,282KMQQ085,CineQuest,trial annual,21.64,2023-01-01,2023-06-30,181.0,21.64
25245,282KTTG604,RetroReel,paid monthly,30.02,2023-01-01,2023-06-30,181.0,210.14
25246,282LFCO068,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
25248,282LFCO068,Pulse,paid monthly,7.99,2023-01-01,2023-02-07,38.0,60.81000000000001
25249,282LFCO068,Pulse,paid monthly,7.99,2023-06-17,2023-06-30,14.0,7.99
25251,282LKXV553,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
25252,282NAAY013,LimeLight,paid monthly,20.0,2023-01-01,2023-04-05,95.0,123.95999999999998
25254,282NCMO064,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
25256,282NCMO064,Pulse,paid monthly,8.0,2023-03-20,2023-06-30,103.0,32.0
25259,282NZUW585,LimeLight,paid monthly,20.0,2023-02-12,2023-06-30,139.0,100.0
25260,282OHES347,RetroReel,paid monthly,30.01,2023-01-27,2023-06-30,155.0,180.06
25262,282PZYD404,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
25264,282QJAZ251,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
25265,282QJAZ251,LimeLight,paid monthly,20.02,2023-01-01,2023-06-30,181.0,140.14
25267,282QUBU899,ChillStream,paid monthly,24.98,2023-01-01,2023-06-30,181.0,174.86
25268,282SDKX704,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
25269,282SYMC275,Pulse,paid monthly,8.0,2023-01-01,2023-05-02,122.0,32.0
25274,282VPBW005,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25277,282WBQA757,CineQuest,paid monthly,12.0,2023-01-01,2023-04-28,118.0,48.0
25279,282XSFZ289,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
25282,282XYOM486,RetroReel,paid annual,120.0,2023-01-01,2023-06-30,181.0,120.0
25286,282YOCX254,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
25288,282ZHOE583,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
25289,282ZVWA179,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
25291,283BDAN599,RetroReel,expired monthly,30.01,2023-01-01,2023-01-21,20.0,0.0
25293,283BKED619,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
25295,283CELU294,RetroReel,paid annual,120.01,2023-01-01,2023-06-30,181.0,120.01
25297,283CGHT992,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
25298,283CJFY661,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
25300,283DAGW366,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
25302,283FBOD055,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
25305,283FIIZ414,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
