,Unnamed: 0,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
3605,3605,081FWGA369,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3607,3607,081GBFE065,LimeLight,0,119.77,2,2,1,2,5,High-Value
3608,3608,081GECU066,LimeLight,4,120.0,1,2,0,2,4,Mid-Value
3609,3609,081HTOJ804,LimeLight,0,109.06,1,2,0,1,3,Mid-Value
3610,3610,081IJWM088,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3617,3617,081NBZY492,LimeLight,22,244.31,1,2,0,3,5,High-Value
3619,3619,081OIUE382,LimeLight,0,70.1,2,2,1,1,4,Mid-Value
3626,3626,081SURM064,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3636,3636,081ZCUN513,LimeLight,120,39.97999999999996,1,0,0,0,0,Low-Value
3646,3646,082BTDU016,LimeLight,135,80.01,3,0,2,1,3,Mid-Value
3648,3648,082DDTX738,LimeLight,0,40.0,1,2,0,0,2,Low-Value
3652,3652,082EOLS388,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3653,3653,082FIGH240,LimeLight,108,39.98,1,0,0,0,0,Low-Value
3654,3654,082FTEX821,LimeLight,0,38.52,1,2,0,0,2,Low-Value
3655,3655,082GPIZ445,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3656,3656,082IYNG677,LimeLight,0,120.06,1,2,0,2,4,Mid-Value
3660,3660,082KOLB663,LimeLight,0,280.09000000000003,1,2,0,3,5,High-Value
3663,3663,082MIGR724,LimeLight,0,80.04,2,2,1,1,4,Mid-Value
3666,3666,082MJDS997,LimeLight,109,40.0,2,0,1,0,1,Low-Value
3671,3671,082ORMQ614,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
3675,3675,082QPDQ721,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
3677,3677,082SNYN618,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
3678,3678,082STXJ000,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
3682,3682,082TYAB759,LimeLight,0,40.0,2,2,1,0,3,Mid-Value
3689,3689,082XGWW240,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
3690,3690,082XIZY985,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3693,3693,083AMKL487,LimeLight,0,80.01,2,2,1,1,4,Mid-Value
3696,3696,083BIZO019,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3699,3699,083BYSJ122,LimeLight,0,79.92,1,2,0,1,3,Mid-Value
3701,3701,083CIXH498,LimeLight,0,119.98,1,2,0,2,4,Mid-Value
3705,3705,083DYCO606,LimeLight,0,119.94,1,2,0,2,4,Mid-Value
3710,3710,083GIYR066,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
3711,3711,083ITUW542,LimeLight,55,80.01,1,1,0,1,2,Low-Value
3712,3712,083JHUQ799,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
3730,3730,083VZEY954,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3737,3737,083ZPKF650,LimeLight,0,160.01,1,2,0,2,4,Mid-Value
3738,3738,084ABIT141,LimeLight,0,40.02,1,2,0,0,2,Low-Value
3741,3741,084CIOS440,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3744,3744,084DTKV020,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3757,3757,084MKBM279,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3758,3758,084MLUG409,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
3759,3759,084NGTI007,LimeLight,0,60.0,1,2,0,0,2,Low-Value
3760,3760,084QVLC985,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3766,3766,084TMMH231,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3767,3767,084UJXT811,LimeLight,13,80.01,1,2,0,1,3,Mid-Value
3773,3773,084WLSM126,LimeLight,0,20.0,1,2,0,0,2,Low-Value
3775,3775,084XVRQ065,LimeLight,0,139.79,1,2,0,2,4,Mid-Value
3780,3780,085AMAR586,LimeLight,0,76.31,2,2,1,1,4,Mid-Value
3782,3782,085BSNC384,LimeLight,0,120.06,1,2,0,2,4,Mid-Value
3786,3786,085CUEB750,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
3787,3787,085DLIT127,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3789,3789,085ECSR972,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3790,3790,085FAHF458,LimeLight,0,140.0,2,2,1,2,5,High-Value
3792,3792,085GBDF262,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3795,3795,085GMAT383,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3800,3800,085KZON555,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3802,3802,085LRIK867,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3807,3807,085NBUT572,LimeLight,0,28.17,1,2,0,0,2,Low-Value
3811,3811,085QAPE639,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3817,3817,085VUVY816,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3828,3828,086BQLM887,LimeLight,0,63.43,2,2,1,0,3,Mid-Value
3837,3837,086EPFX755,LimeLight,0,60.0,1,2,0,0,2,Low-Value
3839,3839,086FASW673,LimeLight,154,19.98000000000001,1,0,0,0,0,Low-Value
3843,3843,086FNNO668,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3844,3844,086FWRU425,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
3847,3847,086KWIO822,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3848,3848,086LFCF458,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
3853,3853,086MSKP996,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
3861,3861,086UZSE972,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3863,3863,086YLAM939,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
3876,3876,087DVOW970,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
3877,3877,087ETLV544,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
3878,3878,087FPPZ071,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3881,3881,087GSFJ765,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3883,3883,087HHSW497,LimeLight,0,80.01,2,2,1,1,4,Mid-Value
3886,3886,087LWXF272,LimeLight,61,119.99999999999996,1,1,0,2,3,Mid-Value
3887,3887,087MFEZ921,LimeLight,56,99.96,1,1,0,1,2,Low-Value
3889,3889,087OWVD417,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
3890,3890,087QIBA562,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
3893,3893,087SHKC308,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3894,3894,087TERI619,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3895,3895,087TPZC872,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
3901,3901,087WTDP514,LimeLight,0,20.0,1,2,0,0,2,Low-Value
3905,3905,087YNXO160,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3906,3906,087ZEIC987,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3908,3908,087ZJTY004,LimeLight,34,100.05,2,1,1,1,3,Mid-Value
3911,3911,088ASWA760,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3914,3914,088BACX102,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
3928,3928,088JFCM913,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3932,3932,088KUPW216,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
3933,3933,088LEVW392,LimeLight,0,69.81,2,2,1,1,4,Mid-Value
3936,3936,088QCNB950,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3938,3938,088QSSV002,LimeLight,0,71.46000000000001,1,2,0,1,3,Mid-Value
3941,3941,088RWVE480,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3942,3942,088RXWP150,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
3944,3944,088TMZP886,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3945,3945,088TWBR180,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3950,3950,088XQPA303,LimeLight,0,140.0,2,2,1,2,5,High-Value
3954,3954,088ZUMF566,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
3955,3955,089AAPJ849,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3957,3957,089AIKU711,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
3958,3958,089AXSR091,LimeLight,69,60.02999999999997,1,1,0,0,1,Low-Value
3962,3962,089CRKJ754,LimeLight,0,40.0,1,2,0,0,2,Low-Value
3967,3967,089GYKG122,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
3968,3968,089HXPV302,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
3973,3973,089KGMW779,LimeLight,168,46.63,1,0,0,0,0,Low-Value
3975,3975,089NRAD585,LimeLight,109,80.01,1,0,0,1,1,Low-Value
3977,3977,089OPCT565,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
3979,3979,089RYDL028,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
3991,3991,089XMTB955,LimeLight,0,140.0,2,2,1,2,5,High-Value
3998,3998,089ZUSV221,LimeLight,0,120.0,2,2,1,2,5,High-Value
4001,4001,090BMCK175,LimeLight,57,160.05999999999997,2,1,1,2,4,Mid-Value
4004,4004,090BRRO805,LimeLight,0,120.0,2,2,1,2,5,High-Value
4005,4005,090BSNS782,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4006,4006,090BXVZ449,LimeLight,42,80.0,1,1,0,1,2,Low-Value
4007,4007,090BYJN874,LimeLight,0,140.0,2,2,1,2,5,High-Value
4010,4010,090ECDU341,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4018,4018,090JQSO572,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4019,4019,090JSMU390,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4021,4021,090KUIJ675,LimeLight,0,40.0,1,2,0,0,2,Low-Value
4029,4029,090RUVQ842,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
4032,4032,090THQO168,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
4043,4043,091BOQK648,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
4053,4053,091JSJQ747,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4054,4054,091JTRS765,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
4057,4057,091LWFF647,LimeLight,137,0.0,1,0,0,0,0,Low-Value
4058,4058,091LWPW732,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4074,4074,091VAXH150,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
4079,4079,092ABOV115,LimeLight,109,80.01,2,0,1,1,2,Low-Value
4095,4095,092KNJE372,LimeLight,15,120.0,1,2,0,2,4,Mid-Value
4096,4096,092MUZC743,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4101,4101,092RYDC018,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4104,4104,092TJPS367,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4105,4105,092WOYD488,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4113,4113,093AXKI588,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
4122,4122,093FRUH864,LimeLight,0,40.0,2,2,1,0,3,Mid-Value
4123,4123,093FZXH283,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4124,4124,093GMQV247,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4125,4125,093GUCX776,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4127,4127,093HGBC520,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4136,4136,093PBKD154,LimeLight,0,42.76,1,2,0,0,2,Low-Value
4137,4137,093PKNW056,LimeLight,0,40.0,1,2,0,0,2,Low-Value
4139,4139,093QCUN734,LimeLight,136,0.0,1,0,0,0,0,Low-Value
4140,4140,093QNMN093,LimeLight,133,20.0,1,0,0,0,0,Low-Value
4145,4145,093TFAJ931,LimeLight,0,64.5,2,2,1,0,3,Mid-Value
4146,4146,093TPUE896,LimeLight,0,79.97,1,2,0,1,3,Mid-Value
4150,4150,093WVIZ035,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4153,4153,093ZHRR152,LimeLight,0,39.98,1,2,0,0,2,Low-Value
4154,4154,094BFVI990,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
4162,4162,094EQQO822,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4164,4164,094FYRK641,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4170,4170,094JSAP807,LimeLight,93,59.96999999999997,2,1,1,0,2,Low-Value
4177,4177,094MJAC491,LimeLight,0,120.0,1,2,0,2,4,Mid-Value
4180,4180,094OLJW377,LimeLight,0,40.04,1,2,0,0,2,Low-Value
4184,4184,094RTLH655,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4188,4188,094TMWS502,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4193,4193,094WNRX886,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4196,4196,094XNGL575,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4198,4198,094YNDM587,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4207,4207,095EVWC274,LimeLight,127,79.99,2,0,1,1,2,Low-Value
4210,4210,095FMSE772,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4213,4213,095GCMM494,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4219,4219,095IWYT791,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4221,4221,095JHJI750,LimeLight,0,57.74,1,2,0,0,2,Low-Value
4234,4234,095RMKA360,LimeLight,15,120.0,1,2,0,2,4,Mid-Value
4237,4237,095TVHL628,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4241,4241,095WWQC115,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4247,4247,096AEJG613,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4255,4255,096GRJB837,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4265,4265,096NFZK397,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
4266,4266,096NHND350,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4267,4267,096OJXJ318,LimeLight,0,40.0,1,2,0,0,2,Low-Value
4273,4273,096QYBU988,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4276,4276,096SPQV828,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4282,4282,096WAKI553,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4283,4283,096WAMT246,LimeLight,0,20.02,1,2,0,0,2,Low-Value
4287,4287,096ZECZ648,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4288,4288,096ZMUW146,LimeLight,0,40.02,1,2,0,0,2,Low-Value
4289,4289,096ZXHR201,LimeLight,0,79.92,1,2,0,1,3,Mid-Value
4296,4296,097DIAD736,LimeLight,0,120.00000000000004,2,2,1,2,5,High-Value
4297,4297,097DRHD367,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4298,4298,097DRPO587,LimeLight,0,26.76,1,2,0,0,2,Low-Value
4304,4304,097KCSV135,LimeLight,95,79.99,1,1,0,1,2,Low-Value
4305,4305,097KERZ745,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
4315,4315,097MUHX043,LimeLight,0,79.96,1,2,0,1,3,Mid-Value
4318,4318,097NQSX305,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4325,4325,097PQEF949,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4327,4327,097PTIZ108,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4340,4340,097XLXW670,LimeLight,0,40.0,1,2,0,0,2,Low-Value
4341,4341,097YIKP536,LimeLight,39,80.0,1,1,0,1,2,Low-Value
4343,4343,098ANTF247,LimeLight,0,140.0,2,2,1,2,5,High-Value
4349,4349,098BVAS869,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4351,4351,098DTHI407,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4353,4353,098ERQU589,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
4357,4357,098FHMF040,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4358,4358,098FWTB960,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4359,4359,098GOZK990,LimeLight,0,20.0,1,2,0,0,2,Low-Value
4360,4360,098GUZS259,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4365,4365,098JTTZ529,LimeLight,0,140.0,2,2,1,2,5,High-Value
4370,4370,098LWRM790,LimeLight,0,63.17,1,2,0,0,2,Low-Value
4371,4371,098MBMJ245,LimeLight,0,120.0,1,2,0,2,4,Mid-Value
4379,4379,098SUXH788,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
4381,4381,098TJDM616,LimeLight,0,139.92999999999998,3,2,2,2,6,High-Value
4387,4387,098XWJK177,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4389,4389,098YQCG870,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4392,4392,098ZGKX700,LimeLight,0,119.94,2,2,1,2,5,High-Value
4395,4395,099ALUQ866,LimeLight,0,120.06,1,2,0,2,4,Mid-Value
4397,4397,099AYTN700,LimeLight,0,80.04,2,2,1,1,4,Mid-Value
4399,4399,099BEFJ334,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4404,4404,099ENCB577,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
4406,4406,099ERHD134,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4411,4411,099KXAV669,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4412,4412,099KZDT843,LimeLight,0,80.03,1,2,0,1,3,Mid-Value
4415,4415,099MJFD222,LimeLight,0,220.3,1,2,0,3,5,High-Value
4417,4417,099NUUZ317,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4418,4418,099NVQF289,LimeLight,0,39.98,1,2,0,0,2,Low-Value
4423,4423,099OXAC097,LimeLight,105,180.0,1,0,0,2,2,Low-Value
4440,4440,099YEFF175,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4443,4443,099YUBZ593,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4444,4444,099YVEL268,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4445,4445,099ZFJT921,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4446,4446,100CPUI233,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
4455,4455,100KODO183,LimeLight,149,40.0,1,0,0,0,0,Low-Value
4458,4458,100LBDS538,LimeLight,2,260.1,2,2,1,3,6,High-Value
4460,4460,100LHYX935,LimeLight,0,20.0,1,2,0,0,2,Low-Value
4462,4462,100ORMX709,LimeLight,0,20.01,1,2,0,0,2,Low-Value
4468,4468,100PZFL714,LimeLight,0,140.0,2,2,1,2,5,High-Value
4469,4469,100QNCZ840,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4476,4476,100VTXD504,LimeLight,173,0.0,1,0,0,0,0,Low-Value
4479,4479,100XRFI146,LimeLight,0,40.02,1,2,0,0,2,Low-Value
4482,4482,100YYXG744,LimeLight,47,159.99,1,1,0,2,3,Mid-Value
4488,4488,101FGMU612,LimeLight,0,106.76,1,2,0,1,3,Mid-Value
4489,4489,101FUFL323,LimeLight,0,40.02,1,2,0,0,2,Low-Value
4494,4494,101HGEJ300,LimeLight,0,54.01,2,2,1,0,3,Mid-Value
4495,4495,101HLLP821,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
4498,4498,101JKHU068,LimeLight,0,79.99,2,2,1,1,4,Mid-Value
4503,4503,101LAJR788,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
4504,4504,101MXMV432,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4506,4506,101PTLG525,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
4510,4510,101TBMS234,LimeLight,0,41.64,2,2,1,0,3,Mid-Value
4511,4511,101TCJH292,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4517,4517,101WPCK872,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4518,4518,101WUDZ922,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4519,4519,101YFPE390,LimeLight,37,79.95999999999998,1,1,0,1,2,Low-Value
4524,4524,102BMPW468,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
4525,4525,102CHTR461,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4534,4534,102JTYB810,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4537,4537,102KLMT517,LimeLight,176,0.0,2,0,1,0,1,Low-Value
4545,4545,102QKYE587,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4547,4547,102QUVC532,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4550,4550,102UNAX812,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4555,4555,102YAPP480,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4566,4566,103CEVV659,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4568,4568,103CUTH781,LimeLight,4,119.93999999999994,1,2,0,2,4,Mid-Value
4571,4571,103EHKM186,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
4574,4574,103GFPI478,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4576,4576,103HLSB561,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4585,4585,103NCDF088,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4586,4586,103NQJF308,LimeLight,3,33.59,1,2,0,0,2,Low-Value
4587,4587,103OQOJ960,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4589,4589,103PWIF037,LimeLight,0,79.96,1,2,0,1,3,Mid-Value
4593,4593,103RTYR156,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4594,4594,103SEFR642,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4595,4595,103SGLR244,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4597,4597,103SSDQ800,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4598,4598,103THQD244,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4599,4599,103VIEQ219,LimeLight,36,80.01,1,1,0,1,2,Low-Value
4600,4600,103VVXM119,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4606,4606,104CROI977,LimeLight,175,0.0,1,0,0,0,0,Low-Value
4608,4608,104CUBY119,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4613,4613,104HRFY999,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4614,4614,104JCSZ580,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4621,4621,104NJVL009,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4626,4626,104QFLR104,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4629,4629,104SAVL927,LimeLight,0,80.0,3,2,2,1,5,High-Value
4632,4632,104STDE538,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4639,4639,104WSPH334,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4642,4642,104YMCC654,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4647,4647,105DHJZ552,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4648,4648,105ENMC387,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4661,4661,105NYLG604,LimeLight,0,99.95,2,2,1,1,4,Mid-Value
4663,4663,105OVZE742,LimeLight,0,60.0,1,2,0,0,2,Low-Value
4664,4664,105PPAU698,LimeLight,0,100.05,1,2,0,1,3,Mid-Value
4665,4665,105QVZJ733,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4670,4670,105SXAS460,LimeLight,0,139.86,2,2,1,2,5,High-Value
4672,4672,105VTCF870,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
4675,4675,105WCPL733,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4679,4679,105XNFV532,LimeLight,0,53.7,2,2,1,0,3,Mid-Value
4681,4681,105XZEF752,LimeLight,11,100.0,1,2,0,1,3,Mid-Value
4682,4682,105YNGF180,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4684,4684,105YTGV502,LimeLight,0,109.27,3,2,2,1,5,High-Value
4687,4687,106AFLM697,LimeLight,0,140.0,2,2,1,2,5,High-Value
4691,4691,106ALTR366,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4692,4692,106AMKH119,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
4697,4697,106ERZA215,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4707,4707,106KGVB858,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4711,4711,106NIWJ443,LimeLight,0,77.83999999999999,2,2,1,1,4,Mid-Value
4715,4715,106PNBJ935,LimeLight,0,79.98,2,2,1,1,4,Mid-Value
4717,4717,106PSJI765,LimeLight,83,112.52,1,1,0,1,2,Low-Value
4719,4719,106QIOG379,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4720,4720,106RNTB887,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
4723,4723,106SRFZ817,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4724,4724,106UFAE903,LimeLight,71,13.68,1,1,0,0,1,Low-Value
4725,4725,106UGRS035,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4726,4726,106UZYK940,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4729,4729,106WPES754,LimeLight,0,49.89,2,2,1,0,3,Mid-Value
4731,4731,106WUFS899,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4734,4734,107BSKT458,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4738,4738,107CXOX100,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
4739,4739,107DHUJ064,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
4747,4747,107EYUP356,LimeLight,0,120.06,1,2,0,2,4,Mid-Value
4748,4748,107GMOS618,LimeLight,0,119.35999999999996,1,2,0,2,4,Mid-Value
4749,4749,107GUKK007,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4754,4754,107MLLT695,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4756,4756,107MXRR853,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
4758,4758,107MZCS303,LimeLight,0,55.09,2,2,1,0,3,Mid-Value
4759,4759,107NCMW023,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
4760,4760,107NHCQ065,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
4767,4767,107QSQY058,LimeLight,12,120.0,1,2,0,2,4,Mid-Value
4776,4776,107VRBW385,LimeLight,0,76.59,2,2,1,1,4,Mid-Value
4784,4784,108AGBO622,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
4785,4785,108AHIL695,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
4786,4786,108BFXQ364,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4787,4787,108BIDN805,LimeLight,0,60.0,1,2,0,0,2,Low-Value
4793,4793,108HYWH772,LimeLight,35,100.05,1,1,0,1,2,Low-Value
4794,4794,108IFLC760,LimeLight,83,154.93,1,1,0,2,3,Mid-Value
4796,4796,108LALN168,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
