,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
4008,117SEUC219,LimeLight,105,80.04,1,1,0,1,2,Low-Value
4017,117YWWY439,LimeLight,125,79.99,2,0,1,1,2,Low-Value
4019,117ZGXI751,LimeLight,83,159.99,1,1,0,3,4,Mid-Value
4029,118JMYC282,LimeLight,28,40.0,1,2,0,0,2,Low-Value
4031,118KXGR581,LimeLight,65,36.3,1,1,0,0,1,Low-Value
4036,118OGPZ857,LimeLight,66,50.19,1,1,0,1,2,Low-Value
4037,118OPZD948,LimeLight,75,60.03,1,1,0,1,2,Low-Value
4048,118XTNI934,LimeLight,109,100.01,1,1,0,2,3,Mid-Value
4057,119EAHD931,LimeLight,171,80.0,1,0,0,1,1,Low-Value
4065,119IGGC859,LimeLight,109,79.97,1,1,0,1,2,Low-Value
4067,119IHHB430,LimeLight,69,32.25,2,1,1,0,2,Low-Value
4072,119KQWA151,LimeLight,24,19.99,1,2,0,0,2,Low-Value
4073,119LIWB448,LimeLight,163,120.0,2,0,1,2,3,Mid-Value
4079,119MYUL998,LimeLight,116,60.03,2,1,1,1,3,Mid-Value
4081,119PIYQ847,LimeLight,39,80.02000000000001,1,2,0,1,3,Mid-Value
4082,119PLXG205,LimeLight,69,59.04,1,1,0,1,2,Low-Value
4087,119RPYY016,LimeLight,167,120.0,1,0,0,2,2,Low-Value
4088,119SXMM364,LimeLight,67,80.0,1,1,0,1,2,Low-Value
4091,119UFAR809,LimeLight,103,59.97,1,1,0,1,2,Low-Value
4097,119ZMFY530,LimeLight,18,79.99,1,2,0,1,3,Mid-Value
4099,120AFJO129,LimeLight,30,24.32,1,2,0,0,2,Low-Value
4101,120AOUQ467,LimeLight,42,99.95,3,2,2,2,6,High-Value
4106,120BFFB454,LimeLight,16,20.0,1,2,0,0,2,Low-Value
4113,120GOOJ722,LimeLight,108,60.06,3,1,2,1,4,Mid-Value
4118,120IULY278,LimeLight,143,79.98,1,0,0,1,1,Low-Value
4123,120OMJW972,LimeLight,77,80.0,1,1,0,1,2,Low-Value
4129,120SXTT095,LimeLight,136,59.35,1,0,0,1,1,Low-Value
4132,120VIFX939,LimeLight,135,100.0,1,0,0,2,2,Low-Value
4136,120ZNFN844,LimeLight,145,40.02,1,0,0,0,0,Low-Value
4141,121ELFS958,LimeLight,39,40.02,1,2,0,0,2,Low-Value
4145,121JKVC953,LimeLight,121,80.0,1,0,0,1,1,Low-Value
4149,121MBGB487,LimeLight,1,19.98,1,2,0,0,2,Low-Value
4152,121MQIS118,LimeLight,84,80.04,1,1,0,1,2,Low-Value
4155,121OSZU699,LimeLight,57,80.01,1,2,0,1,3,Mid-Value
4159,121RKTG590,LimeLight,105,159.99,1,1,0,3,4,Mid-Value
4165,121VRGN712,LimeLight,14,80.0,1,2,0,1,3,Mid-Value
4166,121VZEK993,LimeLight,116,60.0,1,1,0,1,2,Low-Value
4169,122AVPE045,LimeLight,148,51.1,1,0,0,1,1,Low-Value
4173,122EDMJ977,LimeLight,88,80.0,1,1,0,1,2,Low-Value
4188,122NSHL737,LimeLight,55,100.05,2,2,1,2,5,High-Value
4190,122QFUW434,LimeLight,48,80.01,1,2,0,1,3,Mid-Value
4193,122QYDS950,LimeLight,120,59.16,1,0,0,1,1,Low-Value
4194,122RJKW534,LimeLight,157,120.0,1,0,0,2,2,Low-Value
4197,122SVID098,LimeLight,12,20.0,1,2,0,0,2,Low-Value
4198,122WERV295,LimeLight,44,23.64,1,2,0,0,2,Low-Value
4199,122ZBWQ166,LimeLight,14,79.99,1,2,0,1,3,Mid-Value
4207,123MMHP654,LimeLight,120,80.04,1,0,0,1,1,Low-Value
4209,123MPGK140,LimeLight,158,20.0,2,0,1,0,1,Low-Value
4217,123SFFQ645,LimeLight,125,99.95,1,0,0,2,2,Low-Value
4219,123TCVQ376,LimeLight,26,80.0,1,2,0,1,3,Mid-Value
4221,123TGLY913,LimeLight,24,80.01,1,2,0,1,3,Mid-Value
4226,123YMXG152,LimeLight,41,97.5,1,2,0,2,4,Mid-Value
4227,123YNJF091,LimeLight,152,80.0,1,0,0,1,1,Low-Value
4247,124QSAU309,LimeLight,89,60.03,1,1,0,1,2,Low-Value
4251,124UYWB428,LimeLight,144,90.7,1,0,0,2,2,Low-Value
4252,124VMAF911,LimeLight,128,99.95,1,0,0,2,2,Low-Value
4256,124XTNM380,LimeLight,105,80.0,1,1,0,1,2,Low-Value
4263,125FZJZ349,LimeLight,108,79.96,1,1,0,1,2,Low-Value
4264,125GTSI408,LimeLight,96,79.96,1,1,0,1,2,Low-Value
4265,125HNGU110,LimeLight,177,120.0,1,0,0,2,2,Low-Value
4267,125JHWW967,LimeLight,28,20.02,1,2,0,0,2,Low-Value
4270,125LTDP308,LimeLight,163,80.01,1,0,0,1,1,Low-Value
4275,125PMMF024,LimeLight,93,79.96,3,1,2,1,4,Mid-Value
4281,125QKUV113,LimeLight,113,59.97,2,1,1,1,3,Mid-Value
4290,125VYPY433,LimeLight,40,80.01,1,2,0,1,3,Mid-Value
4299,126GTST582,LimeLight,42,79.98,1,2,0,1,3,Mid-Value
4318,126RIAW070,LimeLight,43,40.0,2,2,1,0,3,Mid-Value
4323,126RYHQ571,LimeLight,179,120.12,2,0,1,2,3,Mid-Value
4328,126TJUT137,LimeLight,22,120.0,1,2,0,2,4,Mid-Value
4334,126XQLV265,LimeLight,90,59.97,1,1,0,1,2,Low-Value
4337,126YKOI565,LimeLight,6,120.12,2,2,1,2,5,High-Value
4339,126ZRBE910,LimeLight,87,19.99,1,1,0,0,1,Low-Value
4340,127BGLK532,LimeLight,70,60.03,1,1,0,1,2,Low-Value
4343,127EVBZ899,LimeLight,20,19.98,1,2,0,0,2,Low-Value
4346,127FLUJ457,LimeLight,79,80.01,2,1,1,1,3,Mid-Value
4353,127MSFR701,LimeLight,113,80.04,1,1,0,1,2,Low-Value
4375,128BUNN009,LimeLight,115,40.0,1,1,0,0,1,Low-Value
4377,128CBBP554,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
4378,128CGVA284,LimeLight,96,80.04,1,1,0,1,2,Low-Value
4382,128FYEM922,LimeLight,127,100.0,1,0,0,2,2,Low-Value
4385,128KBEJ867,LimeLight,70,80.08,1,1,0,1,2,Low-Value
4386,128KKEQ052,LimeLight,144,64.0,1,0,0,1,1,Low-Value
4394,128PCWD574,LimeLight,80,80.0,2,1,1,1,3,Mid-Value
4400,128SJQE419,LimeLight,119,126.27,1,0,0,2,2,Low-Value
4403,128UVMQ642,LimeLight,8,15.49,1,2,0,0,2,Low-Value
4405,128WATN371,LimeLight,60,40.0,1,1,0,0,1,Low-Value
4416,129AVKB118,LimeLight,78,40.0,1,1,0,0,1,Low-Value
4417,129DBQY416,LimeLight,56,40.0,1,2,0,0,2,Low-Value
4419,129EMHJ947,LimeLight,32,100.05,1,2,0,2,4,Mid-Value
4421,129GKTW561,LimeLight,81,120.06,1,1,0,2,3,Mid-Value
4430,129ONCY814,LimeLight,31,159.99,1,2,0,3,5,High-Value
4434,129TTFH469,LimeLight,88,60.0,1,1,0,1,2,Low-Value
4436,129WPOC374,LimeLight,58,39.98,1,1,0,0,1,Low-Value
4438,129YMLM021,LimeLight,170,120.0,1,0,0,2,2,Low-Value
4449,130FWYC588,LimeLight,106,40.04,1,1,0,0,1,Low-Value
4450,130GTYF151,LimeLight,41,160.0,1,2,0,3,5,High-Value
4452,130HDUV055,LimeLight,11,20.0,1,2,0,0,2,Low-Value
4453,130KFWL383,LimeLight,91,80.01,1,1,0,1,2,Low-Value
4455,130LCPC620,LimeLight,35,120.04,1,2,0,2,4,Mid-Value
4459,130NDZT365,LimeLight,28,19.99,1,2,0,0,2,Low-Value
4460,130NZFZ175,LimeLight,155,119.94,1,0,0,2,2,Low-Value
4461,130OWDU887,LimeLight,72,79.98,1,1,0,1,2,Low-Value
4462,130OZNT745,LimeLight,56,40.0,1,2,0,0,2,Low-Value
4463,130PIBX573,LimeLight,128,80.01,1,0,0,1,1,Low-Value
4465,130RATQ834,LimeLight,136,100.05,1,0,0,2,2,Low-Value
4466,130RCLR227,LimeLight,166,80.0,2,0,1,1,2,Low-Value
4472,130WPYJ712,LimeLight,170,80.01,1,0,0,1,1,Low-Value
4476,130ZDWC678,LimeLight,43,40.06,1,2,0,0,2,Low-Value
4477,130ZSRQ708,LimeLight,16,120.06,1,2,0,2,4,Mid-Value
4478,131DMYD416,LimeLight,174,120.06,2,0,1,2,3,Mid-Value
4490,131NWZH974,LimeLight,114,80.01,2,1,1,1,3,Mid-Value
4493,131ORMC302,LimeLight,108,80.0,1,1,0,1,2,Low-Value
4505,131WGAB610,LimeLight,158,120.0,1,0,0,2,2,Low-Value
4516,132IWUH842,LimeLight,52,33.98,1,2,0,0,2,Low-Value
4523,132PPOJ945,LimeLight,114,56.96,1,1,0,1,2,Low-Value
4532,132XRKR332,LimeLight,107,80.01,1,1,0,1,2,Low-Value
4534,132YKEW791,LimeLight,131,30.19,1,0,0,0,0,Low-Value
4541,133CLKR157,LimeLight,102,100.01,1,1,0,2,3,Mid-Value
4548,133LRBF190,LimeLight,106,60.0,1,1,0,1,2,Low-Value
4549,133MHTU147,LimeLight,135,80.0,1,0,0,1,1,Low-Value
4552,133PSCQ778,LimeLight,150,20.0,1,0,0,0,0,Low-Value
4555,133TNFQ553,LimeLight,39,39.98,1,2,0,0,2,Low-Value
4556,133UUKA654,LimeLight,160,80.01,1,0,0,1,1,Low-Value
4559,133ZGRE598,LimeLight,43,80.0,1,2,0,1,3,Mid-Value
4573,134GVGV786,LimeLight,67,80.02,1,1,0,1,2,Low-Value
4574,134ITZX716,LimeLight,68,79.98,1,1,0,1,2,Low-Value
4576,134LGAG803,LimeLight,88,80.0,1,1,0,1,2,Low-Value
4590,134QKNS741,LimeLight,177,120.06,1,0,0,2,2,Low-Value
4600,135BIWZ385,LimeLight,99,80.01,1,1,0,1,2,Low-Value
4603,135CTXJ643,LimeLight,19,80.08,2,2,1,1,4,Mid-Value
4605,135HOCB151,LimeLight,28,160.0,1,2,0,3,5,High-Value
4606,135LLRS198,LimeLight,72,79.96,1,1,0,1,2,Low-Value
4607,135LXLM150,LimeLight,164,120.0,1,0,0,2,2,Low-Value
4610,135NINV310,LimeLight,36,100.05,2,2,1,2,5,High-Value
4617,135QTDA628,LimeLight,2,120.06,1,2,0,2,4,Mid-Value
4622,135UQMQ125,LimeLight,9,20.01,1,2,0,0,2,Low-Value
4637,136EUQV024,LimeLight,67,80.0,1,1,0,1,2,Low-Value
4641,136FXJY356,LimeLight,43,60.010000000000005,1,2,0,1,3,Mid-Value
4642,136GFFI443,LimeLight,2,79.99,1,2,0,1,3,Mid-Value
4646,136HTMC686,LimeLight,107,79.96,1,1,0,1,2,Low-Value
4649,136LPVN752,LimeLight,93,28.27,1,1,0,0,1,Low-Value
4650,136NQDF632,LimeLight,101,39.44,1,1,0,0,1,Low-Value
4651,136OXGM855,LimeLight,72,59.97,1,1,0,1,2,Low-Value
4657,136USTR790,LimeLight,40,19.99,2,2,1,0,3,Mid-Value
4658,136VLXA820,LimeLight,63,60.03,1,1,0,1,2,Low-Value
4663,137AZJT892,LimeLight,145,51.44,1,0,0,1,1,Low-Value
4666,137CUYF243,LimeLight,149,80.0,1,0,0,1,1,Low-Value
4669,137FEVJ023,LimeLight,162,92.82,1,0,0,2,2,Low-Value
4675,137ILRR714,LimeLight,59,40.0,1,1,0,0,1,Low-Value
4676,137JJQP221,LimeLight,76,160.0,1,1,0,3,4,Mid-Value
4680,137KSKO765,LimeLight,151,79.99,2,0,1,1,2,Low-Value
4683,137LFQK961,LimeLight,141,100.0,1,0,0,2,2,Low-Value
4686,137OKZS948,LimeLight,168,20.02,1,0,0,0,0,Low-Value
4693,137RDDP410,LimeLight,29,119.88,1,2,0,2,4,Mid-Value
4706,138ESRS701,LimeLight,43,40.0,1,2,0,0,2,Low-Value
4708,138HCBG564,LimeLight,167,120.0,1,0,0,2,2,Low-Value
4712,138KQYP985,LimeLight,165,120.06,1,0,0,2,2,Low-Value
4715,138NHFM350,LimeLight,139,100.0,2,0,1,2,3,Mid-Value
4720,138OUQQ178,LimeLight,178,80.0,1,0,0,1,1,Low-Value
4722,138PGZN349,LimeLight,78,60.0,1,1,0,1,2,Low-Value
4725,138XVZS830,LimeLight,57,80.0,1,2,0,1,3,Mid-Value
4726,138ZODD107,LimeLight,85,60.03,1,1,0,1,2,Low-Value
4736,139JYDP039,LimeLight,111,65.44,1,1,0,1,2,Low-Value
4739,139PSKU771,LimeLight,33,25.9,1,2,0,0,2,Low-Value
4740,139PZRF552,LimeLight,117,80.01,1,1,0,1,2,Low-Value
4741,139QAUN029,LimeLight,30,80.0,2,2,1,1,4,Mid-Value
4744,139QVLS176,LimeLight,57,80.0,1,2,0,1,3,Mid-Value
4745,139TFWC140,LimeLight,140,99.95,1,0,0,2,2,Low-Value
4748,139VUEL712,LimeLight,58,100.01,1,1,0,2,3,Mid-Value
4753,140BUCJ392,LimeLight,136,80.01,1,0,0,1,1,Low-Value
4754,140EUHQ870,LimeLight,89,59.97,1,1,0,1,2,Low-Value
4755,140GOLO431,LimeLight,19,13.95,1,2,0,0,2,Low-Value
4756,140HGLP386,LimeLight,159,80.01,1,0,0,1,1,Low-Value
4758,140JCNJ459,LimeLight,34,32.98,1,2,0,0,2,Low-Value
4762,140MLXK771,LimeLight,157,119.94,1,0,0,2,2,Low-Value
4764,140NVEB566,LimeLight,42,80.08,1,2,0,1,3,Mid-Value
4769,140QXEI578,LimeLight,145,40.0,1,0,0,0,0,Low-Value
4771,140RZYJ322,LimeLight,131,120.1,1,0,0,2,2,Low-Value
4773,140UIFJ222,LimeLight,11,20.0,1,2,0,0,2,Low-Value
4782,141BQAH506,LimeLight,47,79.99,1,2,0,1,3,Mid-Value
4784,141DZMJ030,LimeLight,123,99.95,1,0,0,2,2,Low-Value
4789,141HWOL887,LimeLight,112,80.08,2,1,1,1,3,Mid-Value
4796,141MRTF799,LimeLight,94,60.0,1,1,0,1,2,Low-Value
4806,141SYEQ730,LimeLight,63,100.0,1,1,0,2,3,Mid-Value
4807,141VDME662,LimeLight,54,39.98,1,2,0,0,2,Low-Value
4808,141VIVT201,LimeLight,137,89.7,1,0,0,2,2,Low-Value
4810,141XBBY670,LimeLight,38,88.86999999999999,1,2,0,2,4,Mid-Value
4813,141ZTQI523,LimeLight,178,119.94,1,0,0,2,2,Low-Value
4818,142CBWA021,LimeLight,177,80.01,1,0,0,1,1,Low-Value
4820,142CGKE692,LimeLight,168,80.01,2,0,1,1,2,Low-Value
4821,142DDQH438,LimeLight,40,80.0,1,2,0,1,3,Mid-Value
4822,142EVKG282,LimeLight,134,100.05,1,0,0,2,2,Low-Value
4824,142FXAJ257,LimeLight,35,79.99,1,2,0,1,3,Mid-Value
4825,142IBMZ463,LimeLight,87,80.0,1,1,0,1,2,Low-Value
4826,142ILHU226,LimeLight,98,80.04,1,1,0,1,2,Low-Value
4828,142ITXO667,LimeLight,64,79.96,2,1,1,1,3,Mid-Value
4831,142MTCT800,LimeLight,130,80.02,1,0,0,1,1,Low-Value
4833,142PJHA510,LimeLight,114,60.03,1,1,0,1,2,Low-Value
4843,142TNPU882,LimeLight,58,100.0,3,1,2,2,5,High-Value
4849,142ZRMA674,LimeLight,156,119.94,1,0,0,2,2,Low-Value
4852,143BGJA950,LimeLight,19,9.45,1,2,0,0,2,Low-Value
4856,143EENL126,LimeLight,177,80.01,2,0,1,1,2,Low-Value
4861,143JLPI149,LimeLight,59,79.99,1,1,0,1,2,Low-Value
4862,143JQED639,LimeLight,117,79.96,1,1,0,1,2,Low-Value
4863,143JWWC054,LimeLight,87,59.94,1,1,0,1,2,Low-Value
4866,143KRUC556,LimeLight,150,20.0,1,0,0,0,0,Low-Value
4898,144ONWL476,LimeLight,57,40.04,2,2,1,0,3,Mid-Value
4909,144XGZT460,LimeLight,132,100.0,1,0,0,2,2,Low-Value
4915,145GZUM689,LimeLight,155,119.88,1,0,0,2,2,Low-Value
4916,145HORK897,LimeLight,168,20.02,1,0,0,0,0,Low-Value
4920,145PMSZ439,LimeLight,23,80.0,1,2,0,1,3,Mid-Value
4923,145RRKN265,LimeLight,173,120.06,1,0,0,2,2,Low-Value
4926,145TTDZ419,LimeLight,42,39.98,1,2,0,0,2,Low-Value
4934,145WOYE791,LimeLight,9,26.46,2,2,1,0,3,Mid-Value
4935,145WSFE547,LimeLight,27,99.99,1,2,0,2,4,Mid-Value
4946,146JPGS150,LimeLight,151,120.0,1,0,0,2,2,Low-Value
4947,146JPQG373,LimeLight,117,80.0,1,1,0,1,2,Low-Value
4951,146KVZO281,LimeLight,145,80.0,1,0,0,1,1,Low-Value
4952,146KXMD891,LimeLight,104,80.08,1,1,0,1,2,Low-Value
4953,146LHSH403,LimeLight,140,99.95,1,0,0,2,2,Low-Value
4964,146QNFN690,LimeLight,30,122.52,1,2,0,2,4,Mid-Value
4965,146QUWU550,LimeLight,39,39.98,1,2,0,0,2,Low-Value
4976,146ZGVA053,LimeLight,164,119.94,1,0,0,2,2,Low-Value
4984,147KFGX645,LimeLight,73,80.0,1,1,0,1,2,Low-Value
4987,147KUUM363,LimeLight,178,120.0,1,0,0,2,2,Low-Value
5008,148AQSA679,LimeLight,152,20.0,1,0,0,0,0,Low-Value
5011,148CXNY272,LimeLight,70,60.0,1,1,0,1,2,Low-Value
5012,148DKPO332,LimeLight,142,100.0,1,0,0,2,2,Low-Value
5016,148EMCV512,LimeLight,70,19.99,1,1,0,0,1,Low-Value
5020,148GCWD278,LimeLight,120,79.96,1,0,0,1,1,Low-Value
5024,148HYDK498,LimeLight,58,59.97,1,1,0,1,2,Low-Value
5025,148IUUF158,LimeLight,163,77.16,1,0,0,1,1,Low-Value
5026,148LESF323,LimeLight,78,42.12,1,1,0,0,1,Low-Value
5034,148SUVZ099,LimeLight,171,120.0,1,0,0,2,2,Low-Value
5036,148TPVJ579,LimeLight,173,120.0,1,0,0,2,2,Low-Value
5038,148VKIS024,LimeLight,86,60.0,1,1,0,1,2,Low-Value
5039,148WOXV212,LimeLight,114,79.98,1,1,0,1,2,Low-Value
5041,148XVCX369,LimeLight,85,80.05,1,1,0,1,2,Low-Value
5043,148ZILO902,LimeLight,105,80.0,1,1,0,1,2,Low-Value
5044,148ZMKZ735,LimeLight,48,80.01,1,2,0,1,3,Mid-Value
5053,149CWGF030,LimeLight,114,80.01,1,1,0,1,2,Low-Value
5054,149DEGM731,LimeLight,80,61.83,1,1,0,1,2,Low-Value
5057,149FMMU879,LimeLight,2,79.98,1,2,0,1,3,Mid-Value
5058,149FRFA129,LimeLight,32,40.02,1,2,0,0,2,Low-Value
5060,149FWKQ054,LimeLight,98,75.72,1,1,0,1,2,Low-Value
5061,149FXZY404,LimeLight,134,100.0,2,0,1,2,3,Mid-Value
5064,149IFLN812,LimeLight,41,64.88,1,2,0,1,3,Mid-Value
5068,149KBYV578,LimeLight,34,79.99,1,2,0,1,3,Mid-Value
5072,149NKSV676,LimeLight,44,40.0,1,2,0,0,2,Low-Value
5076,149SAHO567,LimeLight,154,20.01,1,0,0,0,0,Low-Value
5077,149SPAL926,LimeLight,109,80.01,1,1,0,1,2,Low-Value
5078,149TNBF557,LimeLight,99,80.04,1,1,0,1,2,Low-Value
5079,149TOJI599,LimeLight,93,79.99,1,1,0,1,2,Low-Value
5086,150ACOC720,LimeLight,48,120.01,1,2,0,2,4,Mid-Value
5091,150ERDX729,LimeLight,39,40.0,1,2,0,0,2,Low-Value
5092,150FCLY303,LimeLight,3,20.0,1,2,0,0,2,Low-Value
5096,150KFMU777,LimeLight,58,40.02,1,1,0,0,1,Low-Value
5098,150MWJL284,LimeLight,103,80.0,1,1,0,1,2,Low-Value
5107,150UITM842,LimeLight,120,80.08,1,0,0,1,1,Low-Value
5109,150VZDU715,LimeLight,74,60.0,1,1,0,1,2,Low-Value
5115,150ZVDA517,LimeLight,11,120.0,1,2,0,2,4,Mid-Value
5118,151BWEA500,LimeLight,154,20.02,1,0,0,0,0,Low-Value
5119,151CITO491,LimeLight,79,80.0,1,1,0,1,2,Low-Value
5120,151CTKK658,LimeLight,40,80.01,1,2,0,1,3,Mid-Value
5124,151EZBU038,LimeLight,156,80.0,1,0,0,1,1,Low-Value
5132,151JEMN296,LimeLight,1,100.02,2,2,1,2,5,High-Value
5136,151KSVU868,LimeLight,50,39.98,1,2,0,0,2,Low-Value
5140,151ONOA796,LimeLight,92,80.01,1,1,0,1,2,Low-Value
5146,151UVSD679,LimeLight,119,120.02,1,0,0,2,2,Low-Value
5148,151VDJM211,LimeLight,179,80.0,1,0,0,1,1,Low-Value
5152,152AXFN954,LimeLight,66,60.0,1,1,0,1,2,Low-Value
5155,152BOVM127,LimeLight,160,79.32000000000001,1,0,0,1,1,Low-Value
5156,152CEUV703,LimeLight,50,40.04,1,2,0,0,2,Low-Value
5170,152OUKL065,LimeLight,90,80.01,1,1,0,1,2,Low-Value
5178,152SIQX630,LimeLight,112,80.0,2,1,1,1,3,Mid-Value
5182,152WJGM391,LimeLight,39,40.0,1,2,0,0,2,Low-Value
5187,152ZEVX746,LimeLight,134,40.0,1,0,0,0,0,Low-Value
5188,153AGSN576,LimeLight,45,141.29,1,2,0,3,5,High-Value
5198,153JRJK809,LimeLight,9,56.09,2,2,1,1,4,Mid-Value
5200,153LRNK376,LimeLight,42,80.0,1,2,0,1,3,Mid-Value
5202,153MAIY094,LimeLight,113,109.26,2,1,1,2,4,Mid-Value
5204,153MIZB689,LimeLight,130,80.0,1,0,0,1,1,Low-Value
5206,153NXTK734,LimeLight,81,127.17000000000002,1,1,0,2,3,Mid-Value
5211,153QHLJ942,LimeLight,135,99.9,1,0,0,2,2,Low-Value
5214,153QWTI519,LimeLight,120,69.76,1,0,0,1,1,Low-Value
5218,153TIZX589,LimeLight,142,27.12,1,0,0,0,0,Low-Value
5222,153WMUD903,LimeLight,139,100.1,1,0,0,2,2,Low-Value
5225,153XUOL102,LimeLight,61,80.01,1,1,0,1,2,Low-Value
5233,154JEES818,LimeLight,36,80.01,1,2,0,1,3,Mid-Value
5236,154JLGG035,LimeLight,68,80.0,2,1,1,1,3,Mid-Value
5242,154NNCZ419,LimeLight,123,68.1,1,0,0,1,1,Low-Value
5243,154OHER345,LimeLight,26,40.0,1,2,0,0,2,Low-Value
5244,154ONLX670,LimeLight,15,120.0,1,2,0,2,4,Mid-Value
5247,154PUZQ595,LimeLight,177,27.66,1,0,0,0,0,Low-Value
5249,154QKGD194,LimeLight,168,19.99,2,0,1,0,1,Low-Value
5259,154WZTY728,LimeLight,25,120.0,1,2,0,2,4,Mid-Value
5261,155AIZR306,LimeLight,86,80.0,1,1,0,1,2,Low-Value
5264,155DWPS851,LimeLight,50,99.99,2,2,1,2,5,High-Value
5268,155FBCV494,LimeLight,1,19.99,1,2,0,0,2,Low-Value
5272,155GUVU305,LimeLight,163,120.0,1,0,0,2,2,Low-Value
5277,155JBQV506,LimeLight,155,120.0,1,0,0,2,2,Low-Value
5284,155MZAP340,LimeLight,141,99.95,1,0,0,2,2,Low-Value
5286,155SQGS487,LimeLight,152,120.0,1,0,0,2,2,Low-Value
5288,155UFBD640,LimeLight,9,50.15,1,2,0,1,3,Mid-Value
5291,155VEKF892,LimeLight,140,40.02,1,0,0,0,0,Low-Value
5296,156DZJG483,LimeLight,42,38.4,1,2,0,0,2,Low-Value
5297,156EAOH157,LimeLight,75,59.94,1,1,0,1,2,Low-Value
5299,156HJLU586,LimeLight,25,26.72,2,2,1,0,3,Mid-Value
5300,156HUYB555,LimeLight,48,40.02,2,2,1,0,3,Mid-Value
5302,156IIFQ213,LimeLight,60,80.02000000000001,1,1,0,1,2,Low-Value
5306,156KIIU327,LimeLight,133,180.1,1,0,0,3,3,Mid-Value
5307,156KPPT929,LimeLight,65,59.97,1,1,0,1,2,Low-Value
5310,156LHWE071,LimeLight,10,20.0,1,2,0,0,2,Low-Value
5313,156PWSO302,LimeLight,51,88.11,1,2,0,2,4,Mid-Value
5315,156QBNY748,LimeLight,43,100.0,2,2,1,2,5,High-Value
5316,156TXLT458,LimeLight,77,80.01,1,1,0,1,2,Low-Value
5318,156WDLJ499,LimeLight,112,80.0,1,1,0,1,2,Low-Value
5330,157LAYR784,LimeLight,6,120.0,1,2,0,2,4,Mid-Value
5333,157OCLH555,LimeLight,137,100.05,1,0,0,2,2,Low-Value
5334,157TEOE709,LimeLight,79,60.0,1,1,0,1,2,Low-Value
5335,157UKLR702,LimeLight,79,80.0,1,1,0,1,2,Low-Value
5339,157WYFG063,LimeLight,165,20.0,2,0,1,0,1,Low-Value
5350,158HDPN777,LimeLight,107,59.96000000000001,1,1,0,1,2,Low-Value
5353,158JBYQ392,LimeLight,117,45.08,1,1,0,1,2,Low-Value
5354,158KBCW067,LimeLight,3,80.0,1,2,0,1,3,Mid-Value
5358,158LXRL377,LimeLight,38,39.98,2,2,1,0,3,Mid-Value
5362,158QFRX474,LimeLight,6,120.0,1,2,0,2,4,Mid-Value
5374,158VSWP765,LimeLight,99,80.0,2,1,1,1,3,Mid-Value
5378,158YRZP817,LimeLight,22,19.98,1,2,0,0,2,Low-Value
5381,159ATAM919,LimeLight,60,80.02,1,1,0,1,2,Low-Value
5384,159CDGJ521,LimeLight,156,80.0,1,0,0,1,1,Low-Value
5393,159LDQL052,LimeLight,76,79.98,3,1,2,1,4,Mid-Value
5397,159OMCO345,LimeLight,114,72.56,1,1,0,1,2,Low-Value
5399,159PQUZ647,LimeLight,125,79.25,1,0,0,1,1,Low-Value
5401,159QZHX849,LimeLight,169,119.94,1,0,0,2,2,Low-Value
5402,159TAKR953,LimeLight,167,120.12,1,0,0,2,2,Low-Value
5408,159YTZQ915,LimeLight,44,40.04,1,2,0,0,2,Low-Value
5411,160BIYZ647,LimeLight,150,100.05,1,0,0,2,2,Low-Value
5412,160BNUN307,LimeLight,171,120.0,1,0,0,2,2,Low-Value
5413,160BYLQ094,LimeLight,103,39.52,1,1,0,0,1,Low-Value
5416,160DPJW816,LimeLight,163,20.0,2,0,1,0,1,Low-Value
5426,160NWXQ746,LimeLight,115,60.03,1,1,0,1,2,Low-Value
5428,160SNTI021,LimeLight,37,40.02,1,2,0,0,2,Low-Value
5429,160VAUS487,LimeLight,24,79.99,1,2,0,1,3,Mid-Value
5430,160VLAA021,LimeLight,109,80.01,1,1,0,1,2,Low-Value
5432,160XIER419,LimeLight,94,60.0,1,1,0,1,2,Low-Value
5435,160YUNK430,LimeLight,73,59.94,1,1,0,1,2,Low-Value
5441,161ECHO494,LimeLight,71,59.68,1,1,0,1,2,Low-Value
5443,161FCXL203,LimeLight,74,80.02,1,1,0,1,2,Low-Value
5450,161KLXE967,LimeLight,80,60.0,1,1,0,1,2,Low-Value
5459,161SLNE604,LimeLight,173,68.41,1,0,0,1,1,Low-Value
5460,161TDAL671,LimeLight,144,100.0,1,0,0,2,2,Low-Value
5462,161TYOF449,LimeLight,75,59.97,1,1,0,1,2,Low-Value
5467,161YRAR427,LimeLight,144,50.8,1,0,0,1,1,Low-Value
5468,161YVGB196,LimeLight,55,100.0,1,2,0,2,4,Mid-Value
5469,162AQCB022,LimeLight,117,69.17,1,1,0,1,2,Low-Value
5470,162CKMG183,LimeLight,71,60.03,1,1,0,1,2,Low-Value
5472,162GGBH039,LimeLight,11,20.01,1,2,0,0,2,Low-Value
5475,162INGP153,LimeLight,18,79.98,2,2,1,1,4,Mid-Value
5477,162IZIT478,LimeLight,76,19.38,1,1,0,0,1,Low-Value
5478,162JWZA007,LimeLight,84,80.0,1,1,0,1,2,Low-Value
5484,162MVUR993,LimeLight,26,19.99,1,2,0,0,2,Low-Value
